xuoi,nguoc,mode,h,model,n_xuoi,n_nguoc,L_p50_xuoi,L_p50_nguoc,rank_biserial,p,p_holm,co_y_nghia,ket_luan,huong_khop_trung_vi
E2->E3,E3->E2,N2,12,lr,497,302,1.0068343007348202,1.098361137660901,-0.5679907258118246,2.190543304222115e-41,1.029555352984394e-39,True,ngược tốn hơn,True
E2->E3,E3->E2,N2,12,ridge,497,302,1.0068408510348934,1.0983450097175789,-0.5676975761855904,2.4069334272601297e-41,1.1071893765396597e-39,True,ngược tốn hơn,True
E2->E3,E3->E2,N2,12,rf,497,302,1.0154467082520988,1.006924690599516,0.1317441070262635,0.001775594048226308,0.014672458783682053,True,xuôi tốn hơn,True
E2->E3,E3->E2,N2,12,xgb,497,302,1.0226499495679064,1.0849618249010868,-0.2513758044958493,2.467246382860332e-09,6.661565233722896e-08,True,ngược tốn hơn,True
E2->E3,E3->E2,N2,12,svr,497,302,1.0053024708142368,1.0148245553997546,-0.17223873039561877,4.386434363863957e-05,0.0005263721236636748,True,ngược tốn hơn,True
E1->E2,E2->E1,N0,1,lr,302,735,0.989645042279321,0.9739334790609067,-0.1266837860972203,0.0013338598894256412,0.014672458783682053,True,ngược tốn hơn,False
E1->E2,E2->E1,N0,1,ridge,302,735,0.9896088181029181,0.9741069031647264,-0.12577375320989326,0.0014448231738967492,0.014672458783682053,True,ngược tốn hơn,False
E1->E2,E2->E1,N0,1,rf,302,735,1.0102379965955293,1.0644778166425155,-0.20954182997702397,1.1128446399443124e-07,2.6708271358663497e-06,True,ngược tốn hơn,True
E1->E2,E2->E1,N0,1,xgb,302,735,1.0213200669240852,1.080985073641164,-0.22302112898139392,1.6169236166713537e-08,4.20400140334552e-07,True,ngược tốn hơn,True
E1->E2,E2->E1,N0,1,svr,302,735,1.0041082192109851,0.966291242839201,0.16915799432355727,1.832326509945952e-05,0.00023820244629297374,True,xuôi tốn hơn,True
E1->E2,E2->E1,N0,6,lr,302,735,0.7966834092982554,1.1237864742622123,-0.8982294904716853,1.4132041141569209e-114,1.3001477850243672e-112,True,ngược tốn hơn,True
E1->E2,E2->E1,N0,6,ridge,302,735,0.7966834793161978,1.1237864644148075,-0.8982294904716853,1.4132041141569209e-114,1.3001477850243672e-112,True,ngược tốn hơn,True
E1->E2,E2->E1,N0,6,rf,302,735,1.019202638686298,1.0723362835400654,-0.18765598954813711,2.0049326181488483e-06,4.009865236297697e-05,True,ngược tốn hơn,True
E1->E2,E2->E1,N0,6,xgb,302,735,0.9961011716639636,1.0222218191775816,-0.12516105780060371,0.0015242583022780226,0.014672458783682053,True,ngược tốn hơn,True
E1->E2,E2->E1,N0,6,svr,302,735,1.0288165782016918,1.0023769718340965,0.17978105149344503,5.276913035865889e-06,8.443060857385422e-05,True,xuôi tốn hơn,True
E1->E2,E2->E1,N0,12,lr,302,735,0.8127462087132717,1.2155708266684349,-0.8732080911834933,2.172754888914078e-108,1.9120243022443885e-106,True,ngược tốn hơn,True
