nguon,dich,mode,h,model,n_chuoi,mae_p50,mae_p50_naive,ti_so_p50,hieu_p50,n_tot_hon_naive,p,p_holm,co_y_nghia,ket_luan
E1,E3,N2,1,svr,497,4.065499355756902,4.295534398772086,0.9464478638371651,-0.21034751218690229,472,1.9250000521072185e-80,2.887500078160828e-79,True,tốt hơn naive
E1,E3,N2,1,xgb,497,4.1364480524930425,4.295534398772086,0.9629647136978998,-0.14473332296770458,373,3.604120190998849e-38,4.324944229198619e-37,True,tốt hơn naive
E1,E3,N2,6,lr,497,6.663988357613296,6.508720663903487,1.0238553322115824,0.15407314237738223,11,9.32305253057141e-83,1.3984578795857115e-81,True,tệ hơn naive
E1,E3,N2,6,rf,497,6.549376379841115,6.508720663903487,1.0062463451785693,0.0415057152449938,50,7.530225885420685e-71,7.530225885420685e-70,True,tệ hơn naive
E1,E3,N2,6,ridge,497,6.663988362815345,6.508720663903487,1.0238553330108253,0.15407313294727398,11,9.32305253057141e-83,1.3984578795857115e-81,True,tệ hơn naive
E1,E3,N2,6,svr,497,6.669820080813231,6.508720663903487,1.0247513183048675,0.1562526405345972,10,1.2010221010614957e-82,1.5613287313799443e-81,True,tệ hơn naive
E1,E3,N2,6,xgb,497,6.620004634438179,6.508720663903487,1.0170976719206677,0.12248898465698588,17,1.781798610646238e-80,2.1381583327754857e-79,True,tệ hơn naive
E1,E3,N2,12,lr,497,7.08207121492002,7.027038242901766,1.007831602748689,0.033470189912893744,53,4.757321754298756e-74,6.184518280588382e-73,True,tệ hơn naive
E1,E3,N2,12,rf,497,7.150662063967734,7.027038242901766,1.0175925926105274,0.10209635942180917,10,1.5010245172117785e-82,2.1014343240964899e-81,True,tệ hơn naive
E1,E3,N2,12,ridge,497,7.082071213380898,7.027038242901766,1.0078316025296605,0.033470174420681786,53,4.757321754298756e-74,6.184518280588382e-73,True,tệ hơn naive
E1,E3,N2,12,svr,497,7.0998843513592265,7.027038242901766,1.01036654504208,0.05352662743842451,78,8.547752781705078e-57,8.547752781705078e-56,True,tệ hơn naive
E1,E3,N2,12,xgb,497,7.215735365943681,7.027038242901766,1.0268530092649664,0.17115002656166034,7,6.000713147990189e-83,9.001069721985283e-82,True,tệ hơn naive
E2,E1,N0,1,lr,735,0.5132750513329827,0.4077071290944123,1.2589307733545274,0.094895991815371,5,1.0294982918921927e-119,1.3383477794598505e-118,True,tệ hơn naive
E2,E1,N0,1,rf,735,0.4311882180106519,0.4077071290944123,1.057593029997771,0.024925479787268,234,3.4087781605805007e-31,2.7270225284644006e-30,True,tệ hơn naive
E2,E1,N0,1,ridge,735,0.5132750656642855,0.4077071290944123,1.2589308085055018,0.09489598994901471,5,1.0294982918921927e-119,1.3383477794598505e-118,True,tệ hơn naive
E2,E1,N0,1,svr,735,0.3423759592620925,0.4077071290944123,0.839759559815813,0.0063019219706571955,336,5.324146500302917e-12,1.0648293000605834e-11,True,tệ hơn naive
E2,E1,N0,1,xgb,735,0.4401227638670934,0.4077071290944123,1.0795071571220298,0.0307792230837608,184,5.207792628012711e-44,4.68701336521144e-43,True,tệ hơn naive
E2,E1,N0,6,lr,735,0.9336867706178128,0.4660801564027368,2.00327509719384,0.5495603230269137,53,1.6962139060639947e-97,2.0354566872767936e-96,True,tệ hơn naive
E2,E1,N0,6,rf,735,0.6541719939687717,0.4660801564027368,1.4035611363885356,0.0436351592932499,197,1.4543669453414586e-35,1.018056861739021e-34,True,tệ hơn naive
E2,E1,N0,6,ridge,735,0.9336867512177152,0.4660801564027368,2.003275055569889,0.5495603168567167,53,1.6962139060639947e-97,2.0354566872767936e-96,True,tệ hơn naive
E2,E1,N0,6,svr,735,0.3788572630556052,0.4660801564027368,0.8128585992153614,-0.003534792084985694,399,0.014821218497596919,0.014821218497596919,True,tốt hơn naive
E2,E1,N0,6,xgb,735,0.6449601151838451,0.4660801564027368,1.383796555857957,0.057766457573526164,168,6.695409596684943e-39,5.356327677347954e-38,True,tệ hơn naive
E2,E1,N0,12,lr,735,1.2949032038385662,0.4493532338308457,2.8817044283829922,0.9523289478150794,52,5.508087512976101e-96,5.5080875129761005e-95,True,tệ hơn naive
E2,E1,N0,12,rf,735,0.6784341346601709,0.4493532338308457,1.5098013847065364,0.10717514212581379,115,2.6541401721874884e-60,1.8578981205312418e-59,True,tệ hơn naive
E2,E1,N0,12,ridge,735,1.2949032379947287,0.4493532338308457,2.881704504394824,0.9523290623940912,52,5.508087512976101e-96,5.5080875129761005e-95,True,tệ hơn naive
E2,E1,N0,12,svr,735,0.402192642779224,0.4493532338308457,0.8950478432088579,0.0172853401975695,294,1.9843410034643757e-07,3.9686820069287514e-07,True,tệ hơn naive
E2,E1,N0,12,xgb,735,0.6719645905969155,0.4493532338308457,1.495403927258415,0.1117638628043939,103,7.078004736648229e-62,5.662403789318583e-61,True,tệ hơn naive
E2,E1,N1,1,lr,735,0.420156039561301,0.4077071290944123,1.0305339533663291,0.00254764239939681,358,4.71229775110286e-17,3.298608425772002e-16,True,tệ hơn naive
E2,E1,N1,1,rf,735,0.3763492290639106,0.4077071290944123,0.9230871922692325,-0.000889891758102293,371,1.5132075672095033e-12,4.53962270162851e-12,True,tốt hơn naive
E2,E1,N1,1,ridge,735,0.4201560409347417,0.4077071290944123,1.0305339567350233,0.0025476433229612017,358,4.71229775110286e-17,3.298608425772002e-16,True,tệ hơn naive
E2,E1,N1,1,svr,735,0.3934682820832578,0.4077071290944123,0.9650757958469319,0.004744467060739277,352,9.800660445452362e-17,4.900330222726181e-16,True,tệ hơn naive
E2,E1,N1,1,xgb,735,0.3750094846233437,0.4077071290944123,0.9198011461224735,0.0005912912004660126,364,2.8252747156269048e-14,1.1301098862507619e-13,True,tệ hơn naive
E2,E1,N1,6,lr,735,0.4668983398245321,0.4660801564027368,1.0017554564607731,0.0036513717865993556,351,1.7981033313494625e-12,1.0788619988096775e-11,True,tệ hơn naive
E2,E1,N1,6,rf,735,0.4499445822644948,0.4660801564027368,0.9653802593468507,-0.008835255004081707,399,8.96837652163325e-06,2.690512956489975e-05,True,tốt hơn naive
E2,E1,N1,6,ridge,735,0.4668983359709524,0.4660801564027368,1.001755448192711,0.003651260068401996,351,1.7981033313494625e-12,1.0788619988096775e-11,True,tệ hơn naive
E2,E1,N1,6,svr,735,0.4375351091720484,0.4660801564027368,0.9387550685465724,-0.010179225667527006,406,0.0017793442281817825,0.003558688456363565,True,tốt hơn naive
E2,E1,N1,6,xgb,735,0.4694971253756875,0.4660801564027368,1.007331290392887,-0.007902258265410605,397,1.3183552784522001e-06,5.2734211138088004e-06,True,tốt hơn naive
E2,E1,N1,12,lr,735,0.4950393956319753,0.4493532338308457,1.1016709313776245,0.021213376717509308,251,1.8288130519023372e-21,1.0972878311414023e-20,True,tệ hơn naive
E2,E1,N1,12,rf,735,0.4821657120734747,0.4493532338308457,1.0730215691626266,0.005252227817340305,326,1.3569890637127522e-08,4.0709671911382566e-08,True,tệ hơn naive
E2,E1,N1,12,ridge,735,0.4950394038136345,0.4493532338308457,1.1016709495852586,0.02121337576328189,251,1.8288130519023372e-21,1.0972878311414023e-20,True,tệ hơn naive
E2,E1,N1,12,svr,735,0.4237623561118863,0.4493532338308457,0.9430495303198534,-0.00011778382462999948,369,0.0018674219930682123,0.0018674219930682123,True,tốt hơn naive
E2,E1,N1,12,xgb,735,0.5025361855105711,0.4493532338308457,1.1183544429542163,0.007974321559723413,306,3.4471454853337534e-11,1.3788581941335014e-10,True,tệ hơn naive
E2,E1,N2,1,lr,735,0.480983834429625,0.4077071290944123,1.1797287810443071,0.055802519954608165,3,5.2344835045512815e-120,7.851725256826923e-119,True,tệ hơn naive
E2,E1,N2,1,rf,735,0.4335013265059396,0.4077071290944123,1.06326648608971,0.03289209249900882,115,4.4664176589127794e-71,4.9130594248040576e-70,True,tệ hơn naive
E2,E1,N2,1,ridge,735,0.4809838442675972,0.4077071290944123,1.1797288051743051,0.05580249883220767,3,5.234537137633487e-120,7.851725256826923e-119,True,tệ hơn naive
E2,E1,N2,1,svr,735,0.365653689762432,0.4077071290944123,0.8968538042849822,-0.0037006064349036985,407,0.040131399361678144,0.040131399361678144,True,tốt hơn naive
E2,E1,N2,1,xgb,735,0.4336973103162562,0.4077071290944123,1.063747183620685,0.029101873876359298,171,4.296243614913601e-48,4.296243614913601e-47,True,tệ hơn naive
E2,E1,N2,6,lr,735,0.5141921468649447,0.4660801564027368,1.1032268587307859,0.0476616471788289,72,7.613828815477541e-95,7.613828815477541e-94,True,tệ hơn naive
E2,E1,N2,6,rf,735,0.5074696271699523,0.4660801564027368,1.0888033317845247,0.04175299289156329,17,2.6391461513611556e-114,3.430889996769502e-113,True,tệ hơn naive
E2,E1,N2,6,ridge,735,0.5141920971412699,0.4660801564027368,1.1032267520459718,0.0476616024964031,72,7.613828815477541e-95,7.613828815477541e-94,True,tệ hơn naive
E2,E1,N2,6,svr,735,0.5466081497755012,0.4660801564027368,1.172777133431917,0.0698884403885385,5,1.8065033200158314e-119,2.709754980023747e-118,True,tệ hơn naive
E2,E1,N2,6,xgb,735,0.578444617624426,0.4660801564027368,1.241083984542341,0.0828926163324076,3,1.843368332401398e-119,2.709754980023747e-118,True,tệ hơn naive
E2,E1,N2,12,lr,735,0.5074704794751841,0.4493532338308457,1.129335323012755,0.03909224102578723,2,2.9477649557141635e-121,4.1268709379998286e-120,True,tệ hơn naive
E2,E1,N2,12,rf,735,0.4807761511295752,0.4493532338308457,1.0699292114376067,0.026740879482608393,14,1.8530488821476748e-118,2.0383537703624424e-117,True,tệ hơn naive
E2,E1,N2,12,ridge,735,0.5074704752343144,0.4493532338308457,1.1293353135750357,0.03909223806785045,2,2.9477649557141635e-121,4.1268709379998286e-120,True,tệ hơn naive
E2,E1,N2,12,svr,735,0.5075600657350008,0.4493532338308457,1.1295346901321432,0.05063094337562579,1,9.070302867606915e-122,1.3605454301410372e-120,True,tệ hơn naive
E2,E1,N2,12,xgb,735,0.5246107134546399,0.4493532338308457,1.1674795549643784,0.08962719765577509,6,6.317921053732818e-119,7.581505264479382e-118,True,tệ hơn naive
E2,E3,N0,1,lr,497,4.368926280303651,4.295534398772086,1.0170856230490306,0.04163558731035799,136,6.27972618650287e-34,5.023780949202296e-33,True,tệ hơn naive
E2,E3,N0,1,rf,497,4.388037373587233,4.295534398772086,1.0215346837500798,0.0812543333617306,159,8.9328363218814e-21,4.4664181609406996e-20,True,tệ hơn naive
