xuoi,nguoc,mode,h,model,n_xuoi,n_nguoc,ti_so_p50_xuoi,ti_so_p50_nguoc,rank_biserial,p,p_holm,co_y_nghia,ket_luan
E2->E3,E3->E2,N0,1,svr,497,302,1.0341390598156974,1.6044025991595072,-0.5757591909070316,1.773224698532275e-42,9.575413372074286e-41,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N0,6,lr,497,302,0.9000729944580204,6.290387670418831,-0.8925340120191347,1.631543819965324e-99,1.2399733031736462e-97,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N0,6,ridge,497,302,0.9000729384637547,6.295562441106697,-0.8926406118832199,1.5462814041625403e-99,1.190636681205156e-97,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N0,6,rf,497,302,0.9073530172165222,1.7507758335956423,-0.7887990192812504,3.827468327863851e-78,2.5644037796687802e-76,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N0,6,xgb,497,302,0.922832942546139,4.872249278439784,-0.9481391661225632,4.753690289612636e-112,4.3733950664436253e-110,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N0,6,svr,497,302,0.9361381873296108,1.9893247440247093,-0.9187709035670979,2.464686943719743e-105,2.0949839021617816e-103,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N0,12,lr,497,302,0.9508117615984645,9.13975110720403,-0.89346676082988,1.0198597059380057e-99,7.954905706316444e-98,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N0,12,ridge,497,302,0.9508117346304241,9.150966947542504,-0.8935333857449331,9.861812016467432e-100,7.790831493009272e-98,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N0,12,rf,497,302,0.9610084966335172,1.9571586231560802,-0.841725851799539,1.0171299872779554e-88,7.018196912217892e-87,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N0,12,xgb,497,302,0.9838703000597478,5.23092555928401,-0.9075379428891228,8.024673409956143e-103,6.580232196164037e-101,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N0,12,svr,497,302,0.9488526055233422,2.6693243271505214,-0.9190907031593535,2.088219705869635e-105,1.8167511441065823e-103,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N1,1,lr,497,302,0.9853679167273213,1.9056069684353782,-0.9708316121896945,2.2107751098928568e-117,2.1223441054971424e-115,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N1,1,ridge,497,302,0.9853679188132209,1.9130451910776975,-0.9708582621557158,2.1787542324047216e-117,2.1133916054325798e-115,True,chiều xuôi dễ hơn
