env,h,model,split,metric,p25,p50,p75,iqr,n_chuoi,n_loai,n_dong_dung,n_dong_test
E2,6,ma6,test,mae,0.15022866918028244,0.4466136014523111,3.516106921752083,3.3658782525718003,302,0,102982,102982
E2,6,ma6,test,rmse,0.2960420181378536,1.1030950260519925,9.174840444790604,8.87879842665275,302,0,102982,102982
E2,6,ma6,test,smape,5.942399536947526,14.136673558714115,32.393437994689435,26.45103845774191,302,0,102982,102982
E2,6,ma6,test,mase,0.7835085387753631,1.2940617002637738,2.840736542625937,2.0572280038505735,302,0,102982,102982
E2,6,ma6,test,r2,-0.2241353708845661,-0.08159483828984815,0.09506887430628161,0.31920424519084767,302,0,102982,102982
E2,6,ma6,train,mae,0.14984726489161976,0.43804484681065403,1.9265182956956894,1.7766710308040696,302,0,466681,466681
E2,6,ma6,train,rmse,0.4106914913011259,1.2394764690422588,7.6351068241298305,7.224415332828705,302,0,466681,466681
E2,6,ma6,train,smape,6.230840908364275,11.140002544776188,22.043733521924267,15.812892613559992,302,0,466681,466681
E2,6,ma6,train,mase,0.8675041677691453,1.1933304469091204,2.274621609791551,1.4071174420224055,302,0,466681,466681
E2,6,ma6,train,r2,-0.18145956044693667,-0.040144792512347593,0.3374097918283358,0.5188693522752725,302,0,466681,466681
E2,6,ma6,val,mae,0.11870698131760082,0.44256990141945884,2.616605211406096,2.497898230088495,302,0,102378,102378
E2,6,ma6,val,rmse,0.2324279430273654,1.0060242791098197,7.1386586205089175,6.9062306774815525,302,0,102378,102378
E2,6,ma6,val,smape,5.704781341571053,12.73297903559516,28.776574979189373,23.07179363761832,302,0,102378,102378
E2,6,ma6,val,mase,0.7231744061144134,1.1907328074152268,2.9793321863341857,2.2561577802197723,302,0,102378,102378
E2,6,ma6,val,r2,-0.2569154610635385,-0.08804536933118123,0.10466120532257694,0.36157666638611546,302,0,102378,102378
E2,6,naive,test,mae,0.17035504817762884,0.48079877112135183,3.1865870688451334,3.0162320206675046,302,0,102982,102982
E2,6,naive,test,rmse,0.36754369496533335,1.3919800593738558,9.145744634868167,8.778200939902835,302,0,102982,102982
E2,6,naive,test,smape,6.234226986774637,14.040678358325197,28.015010377143867,21.78078339036923,302,0,102982,102982
E2,6,naive,test,mase,0.9502681275515148,1.3738582862275623,2.7237365917698964,1.7734684642183816,302,0,102982,102982
E2,6,naive,test,r2,-1.0212537378616848,-0.7373032450367851,-0.033434052090598854,0.9878196857710859,302,0,102982,102982
E2,6,naive,train,mae,0.16342636270100339,0.48220293992695107,1.6916441078156679,1.5282177451146646,302,0,466681,466681
E2,6,naive,train,rmse,0.4887850635867362,1.4223492254929926,6.9541785322623415,6.465393468675606,302,0,466681,466681
E2,6,naive,train,smape,6.00292617740357,10.033038688597099,19.429625388065862,13.426699210662292,302,0,466681,466681
E2,6,naive,train,mase,1.0070996574546038,1.274832912350953,2.005031901648829,0.9979322441942253,302,0,466681,466681
E2,6,naive,train,r2,-0.861046351551737,-0.3729496695329293,0.2945883980552795,1.1556347496070165,302,0,466681,466681
E2,6,naive,val,mae,0.1411903883972468,0.4691248770894789,2.3469764011799414,2.2057860127826947,302,0,102378,102378
E2,6,naive,val,rmse,0.2747359815722336,1.1643710252780395,6.811945091737831,6.537209110165597,302,0,102378,102378
E2,6,naive,val,smape,6.038152912742623,12.234098790620884,26.455205844543514,20.41705293180089,302,0,102378,102378
E2,6,naive,val,mase,0.8728867952124609,1.2430203715824675,3.230711297647552,2.357824502435091,302,0,102378,102378
E2,6,naive,val,r2,-0.9996071110092551,-0.6591045063692905,-0.09261452468194126,0.9069925863273138,302,0,102378,102378
E2,6,seasonal,test,mae,0.2320817623236978,0.7206605222734255,4.266275659824046,4.034193897500349,302,0,102982,102982
E2,6,seasonal,test,rmse,0.44108304139015364,1.525229579180075,10.274485962052399,9.833402920662245,302,0,102982,102982
E2,6,seasonal,test,smape,9.544368978193638,20.04752737341606,46.86031143323049,37.315942455036854,302,0,102982,102982
E2,6,seasonal,test,mase,1.075772205841881,2.0440250632691255,4.340616370864421,3.2648441650225397,302,0,102982,102982
E2,6,seasonal,test,r2,-1.6419523214204785,-1.0069625022384356,-0.4791392648780159,1.1628130565424626,302,0,102982,102982
E2,6,seasonal,train,mae,0.22138960617666414,0.6598940040567399,3.1445731424865664,2.923183536309902,302,0,384815,466681
E2,6,seasonal,train,rmse,0.5680875691859075,1.8695230960438298,9.486548287453385,8.918460718267477,302,0,384815,466681
E2,6,seasonal,train,smape,8.62420205273131,18.139613388517944,43.18918957639061,34.5649875236593,302,0,384815,466681
E2,6,seasonal,train,mase,1.2076500696919719,1.737051218838059,3.82025242244218,2.612602352750208,302,0,384815,466681
E2,6,seasonal,train,r2,-1.5235365797158118,-1.050348737845523,-0.8043918300409842,0.7191447496748276,302,0,384815,466681
E2,6,seasonal,val,mae,0.21587608863604435,0.6463372664700098,3.4496148803670925,3.233738791731048,302,0,102369,102378
E2,6,seasonal,val,rmse,0.4089401923532915,1.6171852103968916,7.459449442825785,7.050509250472493,302,0,102369,102378
E2,6,seasonal,val,smape,8.637163533641692,19.25876109604955,41.68071158275134,33.04354804910965,302,0,102369,102378
E2,6,seasonal,val,mase,1.0703344685075729,1.7421320376589957,3.456439834943343,2.3861053664357703,302,0,102369,102378
E2,6,seasonal,val,r2,-1.9160630119306616,-1.112350507741135,-0.6386165654446947,1.277446446485967,302,0,102369,102378
E2,12,ma6,test,mae,0.16513651978204213,0.46329212454212454,3.7987183131959252,3.633581793413883,302,0,101170,101170
E2,12,ma6,test,rmse,0.29693085856504914,1.1148629896239068,10.037563421214678,9.740632562649628,302,0,101170,101170
E2,12,ma6,test,smape,6.497973271285784,15.344176068900493,38.22842538369924,31.730452112413456,302,0,101170,101170
