env,h,model,series_id,n_dong,mae,rmse,smape,mase,r2
E1,1,seasonal,E1_454,346,0.1216138148941616,0.3069532218520684,5.692021768838898,1.5408561210734928,-5.22247844993047
E1,1,seasonal,E1_455,346,0.1539980732177263,0.2136339178760058,7.889220998716317,1.4888431443514134,-2.0263490686450814
E1,1,seasonal,E1_456,346,0.1280828516377649,0.2815439928502888,5.429394514196328,1.1285768859896408,-3.8678314949345047
E1,1,seasonal,E1_457,346,0.1130831957060281,0.1807218470114959,5.162654488380261,1.051628025490155,-0.6845158481049012
E1,1,seasonal,E1_458,346,0.1915823699421965,0.3672710932771166,10.437155718243792,1.512954903188518,-0.5235718131933056
E1,1,seasonal,E1_459,346,0.1313549408202588,0.3744295651776113,5.4581207724755085,1.0734372025291197,-0.9637178389693724
E1,1,seasonal,E1_46,346,0.9063287386986808,1.9375962538197609,20.83801782752245,1.6741381460606313,-0.7188967167317524
E1,1,seasonal,E1_460,346,0.1343930635838151,0.3829868431820025,5.657149852228024,1.1665409639655795,-0.9852926896134092
E1,1,seasonal,E1_461,346,0.1549132947976879,0.4001224122260272,6.396830641509621,1.3922751348344498,-0.9814893054885474
E1,1,seasonal,E1_462,346,0.1300578034682081,0.3776979590013465,6.270652640641481,1.1919396305335164,-0.98098172951014
E1,1,seasonal,E1_463,346,0.6298811817597945,0.739380260217994,37.27976965031491,9.970061178616328,-2.657103059308416
E1,1,seasonal,E1_464,346,0.1499518304431599,0.1992620457521406,10.494741517178682,2.415723988439306,-2.007590455995058
E1,1,seasonal,E1_465,346,0.0974470134874758,0.1620779683446704,5.894464980949667,1.4422021581411242,-1.0998559967237576
E1,1,seasonal,E1_466,346,0.1469584365538123,0.1973457596515578,11.082451159065185,2.0455671125496915,-1.466294202381206
E1,1,seasonal,E1_467,346,0.1406069364161849,0.1964010648942269,8.363163239007987,1.883723697018496,-1.136214418885976
E1,1,seasonal,E1_468,346,0.4227842003853564,0.5244220294731988,23.025723218671,6.411744282607899,-1.71086562041001
E1,1,seasonal,E1_469,346,0.2023268398268398,0.25182184470946,12.604245561758034,2.522496109591428,-2.386125211082308
E1,1,seasonal,E1_47,346,1.5285645472061655,2.4577915702307824,14.324658843241592,1.141493268705311,-0.8214195755778293
E1,1,seasonal,E1_470,346,0.1842003853564548,0.2445684860733664,11.42690211948538,2.5446347361090367,-1.3728069949359765
E1,1,seasonal,E1_471,346,0.1588631984585741,0.2075979313284293,9.39914604346023,2.005448186366172,-1.4118639957067995
