env,series_id,log_muc_tai,log_cv,acf_lag1,acf_lag288,pc1,pc2,cum
E3,E3_m_347,1.6338243822349336,-0.5935117213750528,0.8659636005356317,0.4568929533200803,1.1363718038153083,-1.0147761907262542,1
E3,E3_m_3475,1.6224786996426015,-0.5363922363494845,0.8376010601588629,0.39596083019268696,1.0632831753344483,-0.7586329677546443,1
E3,E3_m_3485,1.6245721154851913,-0.5849975595377641,0.8586210643554464,0.44232833015085854,1.1084699108488916,-0.9593289122154179,1
E3,E3_m_3508,1.5989990269545609,-0.5298293720733684,0.7598103904098822,0.39058187668711064,0.8676554018601876,-0.7473450287530349,1
E3,E3_m_3509,1.5655015784037167,-0.48850037479939495,0.8593729336227991,0.4928057168863796,1.1367670822858742,-0.9322842152454183,1
E3,E3_m_3513,1.6640737170522613,-0.654757951429315,0.8358712331338748,0.42469852686711934,1.0450803219939977,-1.0374377971323816,1
E3,E3_m_3514,1.656477597486053,-0.6216566269547688,0.8548393439253611,0.5275140343779454,1.1535209917204459,-1.2689548068113539,1
E3,E3_m_3517,1.5306622752552013,-0.46025817100339,0.7910745614511779,0.3965393500023999,0.916637950089379,-0.6239369817370123,1
E3,E3_m_3519,1.6163552241298031,-0.5583199322945638,0.8428708222129339,0.47479117235747686,1.097885545186263,-1.011603103199596,1
E3,E3_m_3522,1.5540625153000038,-0.5021054580463529,0.8304845920575233,0.45362402866769524,1.0327472060796885,-0.846744470817097,1
E3,E3_m_3526,1.686427604432797,-0.7343210297214118,0.8485090786573173,0.45330226900994125,1.063352189642115,-1.2451673247819743,1
E3,E3_m_3530,1.5924541200369449,-0.574107500830094,0.8316113405994561,0.45651859885880974,1.0312951698848318,-0.9790921142882051,1
E3,E3_m_3532,-0.42207642860145245,0.43910063096642665,0.9410139933182029,-0.029937154448328437,-0.29529185095586163,2.6983504365785382,2
E3,E3_m_3545,1.564948659657648,-0.4914672172590737,0.8364112306771971,0.4652603878456167,1.0686049204900343,-0.8653776538482676,1
E3,E3_m_3558,1.5920500814214862,-0.538094828611735,0.8189651001418582,0.3649745862814542,0.9754960081069445,-0.6682905977440866,1
E3,E3_m_3561,1.6740385388592323,-0.6647168255157023,0.8436738538844609,0.4529287618652438,1.0810100279654191,-1.1338614450876703,1
E3,E3_m_3562,1.6327876487617086,-0.6186920432793132,0.8374538399615032,0.4436527256900306,1.0499122064402853,-1.0239634950514722,1
