nguon,dich,h,model,so_sanh,n_chuoi,mae_p50_N0,mae_p50_Nk,hieu_p50,n_tot_hon_N0,p,p_holm,co_y_nghia,ket_luan
E1,E3,1,lr,N2_vs_N0,497,4.3385376782510185,4.365363305106622,0.026578195839966234,192,0.0075663450970740315,0.02546676866214816,True,tệ hơn N0
E1,E3,1,rf,N1_vs_N0,497,4.289811124911862,4.314056172841696,-0.0049688897334112525,258,0.9490974348260129,0.9490974348260129,False,không khác
E1,E3,1,rf,N2_vs_N0,497,4.289811124911862,4.256156772247362,-0.04637472081051097,295,5.426752299657479e-10,2.7133761498287393e-09,True,tốt hơn N0
E1,E3,1,ridge,N1_vs_N0,497,4.338376167336825,4.1371837157994245,-0.2105455547557682,408,9.268824938538121e-45,5.684922507746619e-44,True,tốt hơn N0
E1,E3,1,ridge,N2_vs_N0,497,4.338376167336825,4.365379995441363,0.02690074169524337,191,0.00636669216553704,0.02546676866214816,True,tệ hơn N0
E1,E3,1,svr,N1_vs_N0,497,4.286973538539383,4.496090297297692,0.15787777546441895,58,1.532120203546154e-71,1.3789081831915386e-70,True,tệ hơn N0
E1,E3,1,svr,N2_vs_N0,497,4.286973538539383,4.065499355756902,-0.18658402157662834,463,5.448357874229503e-78,5.448357874229503e-77,True,tốt hơn N0
E1,E3,1,xgb,N1_vs_N0,497,4.29929153477883,4.295420270701856,-0.02483573234708203,284,0.009835786899942736,0.02546676866214816,True,tốt hơn N0
E1,E3,1,xgb,N2_vs_N0,497,4.29929153477883,4.1364480524930425,-0.13609298016481164,430,1.2487521155190645e-62,9.990016924152516e-62,True,tốt hơn N0
E1,E3,6,lr,N1_vs_N0,497,5.673032023313892,5.585484492694989,-0.06691034941947116,326,4.913930090179203e-07,1.965572036071681e-06,True,tốt hơn N0
E1,E3,6,lr,N2_vs_N0,497,5.673032023313892,6.663988357613296,0.9409094764949959,87,1.3338107943095068e-65,1.2004297148785561e-64,True,tệ hơn N0
E1,E3,6,rf,N1_vs_N0,497,5.84066236660137,5.771177155966754,-0.02878604081479441,263,0.3192494484416357,0.3192494484416357,False,không khác
E1,E3,6,rf,N2_vs_N0,497,5.84066236660137,6.549376379841115,0.7304070719190401,141,2.9252510968141946e-28,1.4626255484070974e-27,True,tệ hơn N0
E1,E3,6,ridge,N1_vs_N0,497,5.673031999995898,5.585484595824816,-0.06691039625469308,326,4.913930090179203e-07,1.965572036071681e-06,True,tốt hơn N0
E1,E3,6,ridge,N2_vs_N0,497,5.673031999995898,6.663988362815345,0.9409094335313579,87,1.3338107943095068e-65,1.2004297148785561e-64,True,tệ hơn N0
E1,E3,6,svr,N1_vs_N0,497,5.770477708235156,5.926358881743238,0.11925864264048336,111,6.400505622394864e-45,3.8403033734369186e-44,True,tệ hơn N0
E1,E3,6,svr,N2_vs_N0,497,5.770477708235156,6.669820080813231,0.8160660015457095,23,3.9688660245645593e-81,3.9688660245645594e-80,True,tệ hơn N0
E1,E3,6,xgb,N1_vs_N0,497,5.875232196141099,5.7927024527381,-0.02143990447979416,264,0.03300566664194535,0.0660113332838907,False,không khác
E1,E3,6,xgb,N2_vs_N0,497,5.875232196141099,6.620004634438179,0.7294927867154124,133,9.346012031248517e-46,6.542208421873962e-45,True,tệ hơn N0
E1,E3,12,lr,N1_vs_N0,497,6.520227246861018,6.261164423265015,-0.24644810220902258,389,5.197120276935993e-21,4.1576962215487944e-20,True,tốt hơn N0
