env,h,model,tang,metric,p25,p50,p75,iqr,n_chuoi,n_loai,cv_p50,ti_le_cham_chan_p50
E2,12,ridge,cao,r2,-0.4330273048273254,-0.2473013185243289,0.0773973701232635,0.5104246749505889,101,0,1.587348,0.574619
E2,12,rf,thap,mae,0.1143440861126878,0.1853084582333915,0.2745792461137503,0.16023516000106247,101,0,0.117021,0.018462
E2,12,rf,thap,rmse,0.1584687492202135,0.2619214845554971,0.481847271974572,0.3233785227543585,101,0,0.117021,0.018462
E2,12,rf,thap,smape,4.929090082376006,7.322262786444813,10.321229264757612,5.392139182381606,101,0,0.117021,0.018462
E2,12,rf,thap,mase,0.8973945612180104,1.2207311815563482,1.763217321621322,0.8658227604033116,101,0,0.117021,0.018462
E2,12,rf,thap,r2,-0.7251161902624195,-0.1844085002281867,0.0105575048871084,0.7356736951495279,101,0,0.117021,0.018462
E2,12,rf,vua,mae,0.30009940280109154,0.7278274804502678,2.00551010784915,1.7054107050480587,100,0,0.5369165,0.0998655
E2,12,rf,vua,rmse,0.694798969388068,1.5879748882246076,4.042995523675516,3.3481965542874477,100,0,0.5369165,0.0998655
E2,12,rf,vua,smape,13.816105259426722,21.304650378938277,30.293357235623816,16.477251976197095,100,0,0.5369165,0.0998655
E2,12,rf,vua,mase,1.2110127516885578,1.808044324231094,2.8626476193098607,1.6516348676213028,100,0,0.5369165,0.0998655
E2,12,rf,vua,r2,-0.34080392065245657,-0.21537618627206284,-0.0426057407336885,0.29819817991876807,100,0,0.5369165,0.0998655
E2,12,rf,cao,mae,1.5007426414931142,6.605386400981255,15.22533449007733,13.724591848584216,101,0,1.587348,0.574619
E2,12,rf,cao,rmse,3.805650284314324,12.855757822744444,27.77418424792888,23.968533963614554,101,0,1.587348,0.574619
E2,12,rf,cao,smape,34.152463279427145,90.2609241936229,117.64784237055557,83.49537909112843,101,0,1.587348,0.574619
E2,12,rf,cao,mase,1.7548732302633714,5.061629032422833,20.553922225225435,18.799048994962064,101,0,1.587348,0.574619
E2,12,rf,cao,r2,-0.323150467276593,-0.15690981681114,0.2862825884866927,0.6094330557632857,101,0,1.587348,0.574619
E2,12,xgb,thap,mae,0.1247975409581632,0.1928016026814779,0.3247324526759014,0.1999349117177382,101,0,0.117021,0.018462
E2,12,xgb,thap,rmse,0.168404621903152,0.269196239627554,0.5251978815168215,0.3567932596136695,101,0,0.117021,0.018462
E2,12,xgb,thap,smape,5.673576111042093,8.239300479823598,10.378411662054807,4.704835551012715,101,0,0.117021,0.018462
E2,12,xgb,thap,mase,1.093807820742914,1.3352357078960602,1.902514294170078,0.8087064734271638,101,0,0.117021,0.018462
E2,12,xgb,thap,r2,-1.2165556343220092,-0.4512946479184756,-0.1898962604559684,1.0266593738660408,101,0,0.117021,0.018462
E2,12,xgb,vua,mae,0.3363832606166002,0.7477138759885098,2.056793795272486,1.7204105346558858,100,0,0.5369165,0.0998655
E2,12,xgb,vua,rmse,0.6489475352111199,1.4514847441570207,3.87210592693761,3.22315839172649,100,0,0.5369165,0.0998655
E2,12,xgb,vua,smape,15.840250455673544,21.572539177763204,31.187833311486603,15.347582855813059,100,0,0.5369165,0.0998655
E2,12,xgb,vua,mase,1.1833100648951158,1.9645314572806403,2.956617169960471,1.7733071050653553,100,0,0.5369165,0.0998655
E2,12,xgb,vua,r2,-0.4426127035022137,-0.2036672865532661,-0.09401417069631232,0.34859853280590136,100,0,0.5369165,0.0998655
