env,h,model_a,model_b,n_chuoi,mae_p50_a,mae_p50_b,delta_p50,hieu_p50,n_a_thap_hon,thong_ke,p,p_holm,co_y_nghia,tot_hon
E1,6,naive,seasonal,735,0.4660801564027368,0.6005301150462441,-0.13444995864350728,-0.1270772238514173,591,30937.0,4.667069384296778e-72,7.467311014874845e-71,True,naive
E1,6,naive,lr,735,0.4660801564027368,0.8781132901285866,-0.4120331337258498,-0.4179753733287227,668,17750.0,1.5374155185130374e-92,3.382314140728682e-91,True,naive
E1,6,naive,ridge,735,0.4660801564027368,0.8783373546507118,-0.412257198247975,-0.4176451751097439,668,17762.0,1.6043592271335026e-92,3.382314140728682e-91,True,naive
E1,6,naive,rf,735,0.4660801564027368,0.5560619104796859,-0.08998175407694908,-0.029601305748780504,490,76222.0,1.190003710230513e-24,9.520029681844104e-24,True,naive
E1,6,naive,xgb,735,0.4660801564027368,0.587649871308433,-0.12156971490569624,-0.05467009171001311,587,61764.0,2.7301018524087735e-37,3.276122222890528e-36,True,naive
E1,6,naive,svr,735,0.4660801564027368,0.3960115456093419,0.07006861079339494,0.005545130672980202,328,123289.0,0.03794100764771823,0.07588201529543646,False,không kết luận
E1,6,ma6,seasonal,735,0.4262870641902899,0.6005301150462441,-0.1742430508559542,-0.1291463017269468,626,25446.0,8.2717125932185e-80,1.571625392711515e-78,True,ma6
E1,6,ma6,lr,735,0.4262870641902899,0.8781132901285866,-0.45182622593829674,-0.4208034100048881,681,17473.0,5.7409994118353286e-93,1.3778398588404789e-91,True,ma6
E1,6,ma6,ridge,735,0.4262870641902899,0.8783373546507118,-0.45205029046042194,-0.42054397143704136,681,17474.0,5.761475554989069e-93,1.3778398588404789e-91,True,ma6
E1,6,ma6,rf,735,0.4262870641902899,0.5560619104796859,-0.129774846289396,-0.018751340519053694,523,99283.0,4.2506061166325534e-10,2.9754242816427874e-09,True,ma6
E1,6,ma6,xgb,735,0.4262870641902899,0.587649871308433,-0.16136280711814316,-0.048771981355537314,524,106420.0,5.583996647605487e-07,3.350397988563292e-06,True,ma6
E1,6,ma6,svr,735,0.4262870641902899,0.3960115456093419,0.030275518580948013,0.028824076542178112,223,63026.0,4.443767239099302e-36,4.443767239099302e-35,True,svr
E1,6,seasonal,lr,735,0.6005301150462441,0.8781132901285866,-0.27758317508234254,-0.23672798857613564,446,117696.0,0.0023128409634195894,0.009198057432353033,True,seasonal
E1,6,seasonal,ridge,735,0.6005301150462441,0.8783373546507118,-0.27780723960446774,-0.23666622348147925,446,117686.0,0.002299514358088258,0.009198057432353033,True,seasonal
E1,6,seasonal,rf,735,0.6005301150462441,0.5560619104796859,0.0444682045665582,0.12104425219992848,184,46906.0,4.088903780063458e-53,6.133355670095187e-52,True,rf
E1,6,seasonal,xgb,735,0.6005301150462441,0.587649871308433,0.012880243737811048,0.09317869045579709,239,59783.0,3.108206214781633e-39,4.3514887006942864e-38,True,xgb
