nguon,dich,mode,lich,h,model,metric,p25,p50,p75,iqr,n_chuoi,n_loai,n_dong_test
E1,E3,N0,co,1,ma6,r2,0.5068256340909038,0.5646748217687418,0.7573496260358685,0.2505239919449648,497,1,171716
E1,E3,N0,co,1,naive,mae,3.970035799527029,4.295534398772086,4.526510880294463,0.5564750807674339,497,1,171716
E1,E3,N0,co,1,naive,rmse,5.417410410733828,5.763078529762594,6.113433583437809,0.6960231727039812,497,1,171716
E1,E3,N0,co,1,naive,smape,9.139480528881624,10.731463976725072,12.387164482071196,3.247683953189572,497,1,171716
E1,E3,N0,co,1,naive,mase,0.9126073134974731,0.9642806844147828,1.021691351324008,0.1090840378265348,497,1,171716
E1,E3,N0,co,1,naive,r2,0.6282119314434735,0.6750786883674674,0.8600235834197678,0.2318116519762942,497,1,171716
E1,E3,N0,co,1,seasonal,mae,6.691305085813738,7.352796566082352,11.315531460221834,4.624226374408096,497,1,171716
E1,E3,N0,co,1,seasonal,rmse,8.557767920721663,9.506436876001723,17.868304950676293,9.31053702995463,497,1,171716
E1,E3,N0,co,1,seasonal,smape,16.266229986073665,19.97106637064108,25.9689168640858,9.702686878012134,497,1,171716
E1,E3,N0,co,1,seasonal,mase,1.5371925879826964,1.6722166388410462,2.6123318186736446,1.0751392306909482,497,1,171716
E1,E3,N0,co,1,seasonal,r2,-0.3861096255917426,0.0318498289358574,0.2113555269759308,0.5974651525676735,497,1,171716
E1,E2,N0,co,6,lr,mae,0.3743379208279564,0.7085551811807178,3.889573566254266,3.51523564542631,302,0,102982
E1,E2,N0,co,6,lr,rmse,0.4678254597946983,1.3168626239526722,9.046080125791017,8.578254665996317,302,0,102982
E1,E2,N0,co,6,lr,smape,17.722005640063273,27.76810741297962,52.33956308388712,34.61755744382384,302,0,102982
E1,E2,N0,co,6,lr,mase,1.7385468573168714,3.1746159701875207,4.155067435487571,2.4165205781707,302,0,102982
E1,E2,N0,co,6,lr,r2,-1.855188441159216,-0.5756259586356542,-0.0646182527363729,1.7905701884228424,302,0,102982
E1,E3,N0,co,6,lr,mae,5.236218341055817,5.673032023313892,6.372131647153498,1.135913306097681,497,1,169209
