env,h,model,split,metric,p25,p50,p75,iqr,n_chuoi,n_loai,n_dong_dung,n_dong_test
E2,6,ma6,test,mae,0.1502286691802824,0.4466136014523111,3.516106921752083,3.3658782525718003,302,0,102982,102982
E2,6,ma6,test,rmse,0.2960420181378536,1.1030950260519925,9.174840444790604,8.87879842665275,302,0,102982,102982
E2,6,ma6,test,smape,5.942399536947526,14.136673558714117,32.393437994689435,26.45103845774191,302,0,102982,102982
E2,6,ma6,test,mase,0.7835085387753631,1.2940617002637738,2.840736542625937,2.057228003850573,302,0,102982,102982
E2,6,ma6,test,r2,-0.2241353708845661,-0.0815948382898481,0.0950688743062816,0.3192042451908476,302,0,102982,102982
E2,6,seasonal,test,mae,0.2320817623236978,0.7206605222734255,4.266275659824046,4.034193897500349,302,0,102982,102982
E2,6,seasonal,test,rmse,0.4410830413901536,1.525229579180075,10.2744859620524,9.833402920662245,302,0,102982,102982
E2,6,seasonal,test,smape,9.544368978193638,20.04752737341606,46.86031143323049,37.31594245503685,302,0,102982,102982
E2,6,seasonal,test,mase,1.075772205841881,2.044025063269125,4.340616370864421,3.26484416502254,302,0,102982,102982
E2,6,seasonal,test,r2,-1.6419523214204783,-1.0069625022384356,-0.4791392648780159,1.1628130565424626,302,0,102982,102982
E2,6,lr,test,mae,0.6517297790164038,0.9005310685653591,3.994796100296699,3.343066321280295,302,0,102982,102982
E2,6,lr,test,rmse,0.7207482254627554,1.4451801589939324,8.409807449129065,7.68905922366631,302,0,102982,102982
E2,6,lr,test,smape,28.027160524839648,38.44461800302014,59.48689558625352,31.45973506141387,302,0,102982,102982
E2,6,lr,test,mase,2.317298857650281,4.089979554830199,6.761300784343337,4.444001926693057,302,0,102982,102982
E2,6,lr,test,r2,-5.717109822286045,-0.8160804900536983,-0.0427352043358492,5.674374617950196,302,0,102982,102982
E2,6,ridge,test,mae,0.6517823090617874,0.9005599465787686,3.994771550524386,3.3429892414625986,302,0,102982,102982
E2,6,ridge,test,rmse,0.7207946560833772,1.4451550873367425,8.409848112559812,7.689053456476435,302,0,102982,102982
E2,6,ridge,test,smape,28.029155372157067,38.44724735314817,59.487500746627774,31.458345374470703,302,0,102982,102982
E2,6,ridge,test,mase,2.31716795062047,4.0899474885469935,6.761848663624976,4.444680713004506,302,0,102982,102982
E2,6,ridge,test,r2,-5.71784941754949,-0.8161103667916513,-0.0427344047740049,5.6751150127754855,302,0,102982,102982
E2,6,xgb,test,mae,0.2012939144564214,0.5464341055229878,3.436359835214337,3.235065920757916,302,0,102982,102982
E2,6,xgb,test,rmse,0.3514101162027412,1.276843594558518,8.027704776961421,7.67629466075868,302,0,102982,102982
E2,6,xgb,test,smape,8.549332520090061,17.534643816031036,43.42039325581415,34.871060735724086,302,0,102982,102982
E2,6,xgb,test,mase,1.0881307442399124,1.640777791764254,3.273475232693581,2.185344488453669,302,0,102982,102982
E2,6,xgb,test,r2,-0.3968129199568393,-0.1019941799751202,0.1373990387679571,0.5342119587247965,302,0,102982,102982
