nguon,dich,mode,lich,h,model,series_id,n_dong,mae,rmse,smape,mase,r2
E1g,E1a,N0,co,12,lr,E1_445,335,0.7184577812024648,0.8477600671627836,26.950071773683625,9.574437278025956,-0.1965149712537832
E1g,E1a,N0,co,12,lr,E1_446,335,0.6311474223804888,0.6976850799524724,28.1062104683659,8.94579629983108,-30.940457112003447
E1g,E1a,N0,co,12,lr,E1_447,335,0.6314846329230582,0.6977992403709002,28.458406495769967,8.14874047294052,-34.21474039644623
E1g,E1a,N0,co,12,lr,E1_451,335,0.6752998663787192,0.771978541904074,29.424404037074908,6.70621709556417,-6.900752608916406
E1g,E1a,N0,co,12,lr,E1_453,335,0.6854937247958532,0.7839053360252453,30.049511574748045,4.146459060704728,-5.79877092039671
E1g,E1a,N0,co,12,lr,E1_458,335,0.6793408854727809,0.7790947999674662,30.675235027895752,5.3648575488578665,-5.776952281873951
E1g,E1a,N0,co,12,lr,E1_459,335,0.6524871483616426,0.7498305842675961,25.945542520494364,5.332147956139167,-6.647172846023306
E1g,E1a,N0,co,12,lr,E1_46,335,1.0862659018007574,1.936078190572302,21.839523623771136,2.0065116610786413,-0.7888163210768477
E1g,E1a,N0,co,12,lr,E1_460,335,0.6557046126280719,0.7558357658257997,26.41639140616962,5.6915607881413415,-6.517394314383217
E1g,E1a,N0,co,12,lr,E1_463,335,0.6161698330288006,0.6865465720507855,28.320608965341165,9.753031380540088,-2.3702522233598944
E1g,E1a,N0,co,12,lr,E1_464,335,0.653353938559407,0.715320229055251,35.49202513369995,10.525531950192043,-38.29671046168443
E1g,E1a,N0,co,12,lr,E1_468,335,0.6192489168968983,0.6981608261502805,27.501000658953,9.39123481626288,-3.952094351430258
E1g,E1a,N0,co,12,lr,E1_47,335,1.3148860599134482,1.8351073560006297,12.793749014377806,0.981923589192868,-0.0040362785186947
E1g,E1a,N0,co,12,lr,E1_471,335,0.6668340379801763,0.7329221809852972,33.56229997095887,8.417941505963674,-30.87376344706861
E1g,E1a,N0,co,12,lr,E1_473,335,0.6579601583387482,0.7185429235427181,30.74691364550623,8.521342208390703,-16.675345768061515
E1g,E1a,N0,co,12,lr,E1_474,335,0.6471648270477683,0.7072847206675693,30.163408138848947,8.9096926623611,-18.99260166196644
E1g,E1a,N0,co,12,lr,E1_477,335,0.6560802639230208,0.7172060691831411,33.59131810177963,10.46307842118449,-45.09188286081498
E1g,E1a,N0,co,12,lr,E1_479,335,0.6764217620863696,0.7381815121380119,38.58238059036029,10.275487588129572,-38.22690695508565
E1g,E1a,N0,co,12,lr,E1_483,335,0.654211161742837,0.7282961367189003,33.03382854025218,10.278941952871032,-24.359214332115897
E1g,E1a,N0,co,12,lr,E1_486,335,0.6703529175358637,0.7399329282704948,36.54091720182805,9.523267638009491,-29.85360289598664
E1g,E1a,N0,co,12,lr,E1_487,335,0.6558657252274909,0.7212292485658983,32.527287803205894,12.131875311064404,-27.519376732145407
E1g,E1a,N0,co,12,lr,E1_492,335,0.6518593753806493,0.7141311820493239,33.76135207017207,10.233673416321835,-52.9177834403576
E1g,E1a,N0,co,12,lr,E1_493,335,0.6712913668968615,0.7279909301609131,34.144058050232374,8.916727157379503,-25.675828899008803
