env,h,model,so_sanh,n_chuoi,hieu_p50,p,p_holm,co_y_nghia,ket_luan
E3,1,lr,N1_vs_N0,497,-0.01912971439320721,0.9709884140010624,1.0,False,không khác
E3,1,lr,N2_vs_N0,497,-0.01938135108667627,8.733318181494855e-23,6.113322727046398e-22,True,Nk tốt hơn N0
E3,1,rf,N1_vs_N0,497,-0.02667166552655509,7.315305444369196e-11,4.3891832666215177e-10,True,Nk tốt hơn N0
E3,1,rf,N2_vs_N0,497,-0.06629884300112332,4.0593150261366075e-31,3.653383523522947e-30,True,Nk tốt hơn N0
E3,1,ridge,N1_vs_N0,497,-0.019456109645427766,0.9804490679553669,1.0,False,không khác
E3,1,ridge,N2_vs_N0,497,-0.019643521232501904,4.448214886787543e-23,3.5585719094300343e-22,True,Nk tốt hơn N0
E3,1,svr,N1_vs_N0,497,0.4898577543398779,7.314703842765096e-66,7.314703842765096e-65,True,Nk tệ hơn N0
E3,1,svr,N2_vs_N0,497,0.036079194470117315,0.19038962624603217,0.5711688787380965,False,không khác
E3,1,xgb,N1_vs_N0,497,0.003140115027244761,0.055525796620036726,0.2221031864801469,False,không khác
E3,1,xgb,N2_vs_N0,497,0.0240454638672567,0.0031307331444935175,0.015653665722467586,True,Nk tệ hơn N0
E3,6,lr,N1_vs_N0,497,-0.053973066398107505,0.7062077914349958,1.0,False,không khác
E3,6,lr,N2_vs_N0,497,0.8263973436723324,2.3593057521382233e-32,2.3418036634376604e-31,True,Nk tệ hơn N0
E3,6,rf,N1_vs_N0,497,0.14881365843956118,1.438003800246904e-23,1.1504030401975232e-22,True,Nk tệ hơn N0
E3,6,rf,N2_vs_N0,497,1.0191913664076608,1.0677809023245606e-14,6.406685413947363e-14,True,Nk tệ hơn N0
E3,6,ridge,N1_vs_N0,497,-0.054142266030809516,0.7048162902703206,1.0,False,không khác
E3,6,ridge,N2_vs_N0,497,0.8263458988822743,2.3418036634376605e-32,2.3418036634376604e-31,True,Nk tệ hơn N0
E3,6,svr,N1_vs_N0,497,-0.013882892423798587,0.012526678464864258,0.06263339232432129,False,không khác
E3,6,svr,N2_vs_N0,497,1.0164157597258017,0.07821338864308423,0.31285355457233693,False,không khác
E3,6,xgb,N1_vs_N0,497,-0.01049689091378525,0.7889364314784184,1.0,False,không khác
E3,6,xgb,N2_vs_N0,497,1.0458052952967103,3.688292990160278e-23,2.5818050931121947e-22,True,Nk tệ hơn N0
E3,12,lr,N1_vs_N0,497,-0.1941296481382393,0.11344548620439762,0.34033645861319284,False,không khác
E3,12,lr,N2_vs_N0,497,0.554000235958056,1.945682227630518e-06,1.3598729184295232e-05,True,Nk tệ hơn N0
E3,12,rf,N1_vs_N0,497,-0.016769145745691993,0.5216891825671601,0.5216891825671601,False,không khác
E3,12,rf,N2_vs_N0,497,1.077123341610804,2.3969875174530282e-29,2.1572887657077253e-28,True,Nk tệ hơn N0
E3,12,ridge,N1_vs_N0,497,-0.1936602388298967,0.11365913968814274,0.34033645861319284,False,không khác
E3,12,ridge,N2_vs_N0,497,0.5536523161816929,1.9426755977564618e-06,1.3598729184295232e-05,True,Nk tệ hơn N0
E3,12,svr,N1_vs_N0,497,-0.22391241669181472,7.059822436068116e-31,7.059822436068116e-30,True,Nk tốt hơn N0
E3,12,svr,N2_vs_N0,497,0.8911261862556499,0.08364276679106152,0.33457106716424606,False,không khác
E3,12,xgb,N1_vs_N0,497,0.07117974457728504,1.5955256672797683e-05,7.977628336398842e-05,True,Nk tệ hơn N0
E3,12,xgb,N2_vs_N0,497,0.9979313738512161,2.127975459035152e-19,1.7023803672281216e-18,True,Nk tệ hơn N0
