series_id,env,mean,std,n_diem,cv,cv_chan,ti_le_cham_chan
E1_258,E1,31.494359,42.078154,2304,1.336054,1.474846,0.905893
E1_259,E1,54.848532,44.986337,2304,0.820192,0.907305,0.903987
E1_260,E1,48.114663,42.935939,2304,0.892367,1.038445,0.85933
E1_261,E1,52.891811,45.634168,2304,0.862783,0.943744,0.914214
E1_262,E1,51.378368,43.000594,2304,0.83694,0.972802,0.860339
E1_263,E1,53.859643,46.020502,2304,0.854452,0.925569,0.923165
E1_264,E1,48.211491,44.537583,2304,0.923796,1.036433,0.891322
E1_265,E1,49.761957,43.54858,2304,0.875138,1.004772,0.870981
E1_266,E1,49.210972,42.385063,2304,0.861293,1.015907,0.847807
E1_267,E1,51.979293,46.936562,2304,0.902986,0.961168,0.939468
E1_268,E1,49.266715,44.325619,2304,0.899707,1.014775,0.886608
E1_269,E1,50.665208,45.619306,2304,0.900407,0.986783,0.912467
E1_270,E1,49.159273,46.268267,2304,0.941191,1.016958,0.925496
E1_271,E1,50.391983,45.414198,2304,0.901219,0.992191,0.908312
E1_272,E1,51.979017,45.3051,2304,0.871604,0.961173,0.906813
E1_273,E1,49.854628,44.338919,2304,0.889364,1.002912,0.886782
E1_274,E1,49.283539,45.268249,2304,0.918527,1.014433,0.905458
E1_275,E1,50.2711,46.287658,2304,0.920761,0.994593,0.925767
E1_276,E1,46.684309,45.51216,2304,0.974892,1.068666,0.912251
E1_277,E1,47.907291,46.414099,2304,0.968832,1.042768,0.929096
E1_278,E1,28.919232,40.591307,2304,1.403609,1.567771,0.89529
E1_279,E1,49.170034,46.445515,2304,0.94459,1.016739,0.929038
E1_28,E1,1.113184,0.336952,2304,0.302692,9.425094,0.032116
E1_280,E1,26.495641,40.136145,2304,1.514821,1.665595,0.909477
E1_281,E1,48.81644,46.380574,2304,0.950102,1.023958,0.927871
E1_282,E1,26.580433,40.859031,2304,1.537185,1.661977,0.924914
E1_283,E1,48.014324,45.783199,2304,0.953532,1.040534,0.916387
E1_284,E1,25.583888,40.594052,2304,1.586704,1.705494,0.930348
E1_285,E1,46.190539,46.679176,2304,1.010579,1.079326,0.936305
E1_286,E1,25.080543,39.992925,2304,1.59458,1.728339,0.922608
E1_287,E1,46.569323,46.079335,2304,0.989478,1.071138,0.923764
E1_288,E1,25.419359,39.617993,2304,1.558576,1.712895,0.909907
E1_289,E1,46.825772,46.416821,2304,0.991267,1.065634,0.930213
E1_290,E1,26.721698,41.012772,2304,1.534812,1.655982,0.926829
E1_291,E1,46.21203,45.188087,2304,0.977843,1.07886,0.906367
E1_292,E1,23.486779,38.758623,2304,1.650232,1.804914,0.914299
E1_293,E1,25.086031,39.139465,2304,1.56021,1.728086,0.902854
E1_294,E1,17.919802,33.476383,2304,1.868122,2.140191,0.872876
E1_295,E1,12.248122,20.612355,2304,1.682899,2.676662,0.628731
E1_296,E1,6.528014,5.550887,2304,0.850318,3.783992,0.224715
E1_297,E1,3.22295,3.004288,2304,0.932155,5.479733,0.170109
E1_298,E1,1.450628,0.463896,2304,0.31979,8.24231,0.038799
E1_299,E1,1.446257,0.305939,2304,0.211538,8.254938,0.025626
E1_3,E1,3.191191,0.275432,2304,0.08631,5.507836,0.01567
E1_301,E1,1.396815,0.773973,2304,0.554098,8.401873,0.065949
E1_302,E1,1.421178,0.592913,2304,0.417198,8.328514,0.050093
E1_305,E1,12.446858,0.423725,2304,0.034043,2.652198,0.012836
E1_306,E1,1.072267,0.508923,2304,0.474623,9.605224,0.049413
E1_31,E1,1.228418,0.592852,2304,0.482614,8.966911,0.053822
E1_315,E1,1.097791,0.372768,2304,0.339562,9.49168,0.035775
E1_317,E1,1.022714,0.320724,2304,0.313601,9.837634,0.031878
E1_319,E1,2.262724,1.201972,2304,0.531206,6.572253,0.080826
E1_320,E1,7.578582,7.730699,2304,1.020072,3.492145,0.292105
E1_321,E1,6.357792,9.116641,2304,1.433932,3.837803,0.373634
E1_322,E1,7.971423,10.89517,2304,1.366779,3.397766,0.402258
E1_323,E1,2.656976,0.244331,2304,0.091958,6.052832,0.015193
E1_324,E1,5.469357,8.424001,2304,1.540218,4.157365,0.370479
E1_325,E1,2.151675,0.542722,2304,0.252233,6.743546,0.037404
E1_326,E1,4.897883,2.067121,2304,0.422044,4.406471,0.095778
E1_327,E1,2.601399,0.452648,2304,0.174002,6.118893,0.028437
E1_328,E1,2.164127,0.423905,2304,0.195878,6.723691,0.029132
E1_329,E1,57.972064,17.337726,2304,0.29907,0.851451,0.351248
E1_330,E1,2.358579,0.618018,2304,0.26203,6.434159,0.040725
E1_332,E1,6.025173,2.434764,2304,0.404099,3.949308,0.102321
E1_334,E1,3.484836,0.525835,2304,0.150892,5.262676,0.028672
E1_335,E1,3.845233,0.328775,2304,0.085502,5.000623,0.017098
E1_339,E1,2.085996,0.693368,2304,0.332392,6.851185,0.048516
E1_340,E1,8.051505,2.556917,2304,0.31757,3.379355,0.093974
E1_341,E1,5.389027,9.245292,2304,1.715577,4.190015,0.409444
E1_343,E1,3.294306,1.467587,2304,0.445492,5.418063,0.082223
E1_344,E1,11.974027,5.878217,2304,0.490914,2.711348,0.181059
E1_345,E1,1.255776,0.295083,2304,0.234981,8.867472,0.026499
E1_346,E1,1.67343,0.177422,2304,0.106023,7.665344,0.013831
E1_348,E1,7.145923,7.240236,2304,1.013198,3.604718,0.281076
E1_349,E1,2.420619,1.231043,2304,0.508565,6.349153,0.0801
E1_35,E1,1.019273,0.166731,2304,0.163578,9.854395,0.016599
E1_350,E1,2.545226,2.400156,2304,0.943003,6.18783,0.152396
E1_351,E1,1.804018,0.456919,2304,0.253279,7.377792,0.03433
E1_352,E1,5.487185,2.030198,2304,0.369989,4.150214,0.089149
E1_357,E1,7.05325,12.699956,2304,1.800582,3.630133,0.49601
E1_360,E1,13.110859,8.338926,2304,0.636032,2.574348,0.247065
E1_361,E1,12.584077,0.575604,2304,0.045741,2.635631,0.017355
E1_362,E1,1.498691,0.164835,2304,0.109986,8.107088,0.013567
E1_363,E1,1.280162,0.29133,2304,0.227573,8.781522,0.025915
E1_366,E1,3.182335,3.064549,2304,0.962988,5.515747,0.174589
E1_367,E1,2.895108,5.904218,2304,2.039377,5.791462,0.352135
E1_368,E1,1.410274,0.455174,2304,0.322756,8.361113,0.038602
E1_369,E1,6.180768,12.485402,2304,2.020041,3.896052,0.518484
E1_370,E1,2.189399,3.247211,2304,1.483152,6.683908,0.221899
E1_371,E1,4.158955,9.00024,2304,2.164063,4.800469,0.450802
E1_372,E1,2.041156,0.651767,2304,0.319312,6.927614,0.046093
E1_373,E1,1.428618,0.49181,2304,0.344256,8.306487,0.041444
E1_374,E1,1.476838,0.53091,2304,0.359491,8.167756,0.044013
E1_375,E1,1.642837,0.676595,2304,0.411845,7.73759,0.053227
E1_376,E1,1.605859,0.524521,2304,0.326629,7.827642,0.041728
E1_377,E1,1.581734,0.495945,2304,0.313545,7.888076,0.039749
E1_378,E1,1.640741,0.575887,2304,0.350992,7.742613,0.045332
E1_379,E1,1.643919,0.468737,2304,0.285134,7.735002,0.036863
E1_380,E1,1.489305,0.373054,2304,0.250489,8.132984,0.030799
E1_381,E1,1.718229,0.295913,2304,0.17222,7.563032,0.022771
E1_382,E1,1.502532,0.491533,2304,0.327136,8.096563,0.040404
E1_383,E1,1.602789,0.482839,2304,0.30125,7.835257,0.038448
E1_384,E1,6.664543,14.333611,2304,2.150727,3.742296,0.574708
E1_385,E1,1.552399,0.166377,2304,0.107174,7.963443,0.013458
E1_386,E1,1.671629,0.271963,2304,0.162693,7.669543,0.021213
E1_387,E1,8.780161,2.738552,2304,0.311902,3.223246,0.096767
E1_388,E1,9.056696,4.471514,2304,0.493725,3.168841,0.155806
E1_389,E1,3.074828,9.189062,2304,2.988479,5.614458,0.532283
E1_391,E1,7.750008,22.171203,2304,2.860798,3.450103,0.829192
