env,mode,series_id,mu,sd,n_dong_train
E1,N1,E1_177,1.0655854897790382,0.23674176804002423,1612
E1,N2,E1_177,,,1612
E1,N0,E1_180,,,1612
E1,N1,E1_180,1.0301078401884853,0.5111919657673046,1612
E1,N2,E1_180,,,1612
E1,N0,E1_183,,,1612
E1,N1,E1_183,67.34514401928716,43.25880334902476,1612
E1,N2,E1_183,,,1612
E1,N0,E1_184,,,1612
E1,N1,E1_184,67.45930004135649,43.01625215625023,1612
E1,N2,E1_184,,,1612
E1,N0,E1_185,,,1612
E1,N1,E1_185,68.61691185158926,42.74588345318088,1612
E1,N2,E1_185,,,1612
E1,N0,E1_186,,,1612
E1,N1,E1_186,65.42572440999861,43.79444402987525,1612
E1,N2,E1_186,,,1612
E1,N0,E1_187,,,1612
E1,N1,E1_187,64.37742747843554,41.57029141183542,1612
E1,N2,E1_187,,,1612
E1,N0,E1_188,,,1612
E1,N1,E1_188,66.45327162756598,43.47825606927351,1612
E1,N2,E1_188,,,1612
E1,N0,E1_189,,,1612
E1,N1,E1_189,67.33999963410247,43.20363378388284,1612
E1,N2,E1_189,,,1612
E1,N0,E1_190,,,1612
E1,N1,E1_190,66.0708130159491,43.671458037327916,1612
E1,N2,E1_190,,,1612
E1,N0,E1_191,,,1612
E1,N1,E1_191,63.66887923904052,42.70709741963388,1612
E1,N2,E1_191,,,1612
E1,N0,E1_192,,,1612
E1,N1,E1_192,62.80276524550719,43.92483887539217,1612
E1,N2,E1_192,,,1612
E1,N0,E1_193,,,1612
E1,N1,E1_193,65.74399486602108,43.30344433672285,1612
E1,N2,E1_193,,,1612
E1,N0,E1_194,,,1612
E1,N1,E1_194,63.91284857615504,43.34283523612898,1612
E1,N2,E1_194,,,1612
E1,N0,E1_195,,,1612
E1,N1,E1_195,68.87025434243176,43.864803466304956,1612
E1,N2,E1_195,,,1612
E1,N0,E1_196,,,1612
E1,N1,E1_196,64.3896686311001,44.81831785043318,1612
E1,N2,E1_196,,,1612
E1,N0,E1_197,,,1612
E1,N1,E1_197,67.5529045551223,43.73418607361,1612
E1,N2,E1_197,,,1612
E1,N0,E1_198,,,1612
E1,N1,E1_198,64.62185819892473,44.10587396123631,1612
E1,N2,E1_198,,,1612
E1,N0,E1_199,,,1612
E1,N1,E1_199,66.05407048428721,43.168550425027085,1612
E1,N2,E1_199,,,1612
E1,N0,E1_200,,,1612
E1,N1,E1_200,64.10694671591848,43.768563729345054,1612
E1,N2,E1_200,,,1612
E1,N0,E1_201,,,1612
E1,N1,E1_201,64.73713511790629,42.97849303169183,1612
E1,N2,E1_201,,,1612
E1,N0,E1_202,,,1612
E1,N1,E1_202,67.69753877954483,43.51348901886463,1612
E1,N2,E1_202,,,1612
E1,N0,E1_203,,,1612
E1,N1,E1_203,68.68112814604751,42.85991640171175,1612
E1,N2,E1_203,,,1612
E1,N0,E1_204,,,1612
E1,N1,E1_204,63.40986093879239,42.57228576056769,1612
E1,N2,E1_204,,,1612
E1,N0,E1_205,,,1612
E1,N1,E1_205,65.08000648545004,44.02717919963924,1612
E1,N2,E1_205,,,1612
E1,N0,E1_206,,,1612
E1,N1,E1_206,62.891098954808626,44.01018140530958,1612
E1,N2,E1_206,,,1612
E1,N0,E1_207,,,1612
E1,N1,E1_207,64.07980030721967,44.72177653501485,1612
E1,N2,E1_207,,,1612
E1,N0,E1_208,,,1612
E1,N1,E1_208,64.47579893225053,43.98891208932859,1612
E1,N2,E1_208,,,1612
E1,N0,E1_209,,,1612
E1,N1,E1_209,13.786959780810587,32.04557422848926,1612
E1,N2,E1_209,,,1612
E1,N0,E1_210,,,1612
E1,N1,E1_210,67.66149322787427,44.28955389196278,1612
E1,N2,E1_210,,,1612
E1,N0,E1_211,,,1612
E1,N1,E1_211,12.071766193036355,29.77622091077524,1612
E1,N2,E1_211,,,1612
E1,N0,E1_212,,,1612
E1,N1,E1_212,68.36048904052936,43.70947448493645,1612
E1,N2,E1_212,,,1612
E1,N0,E1_213,,,1612
E1,N1,E1_213,12.766998503288827,31.061898978659627,1612
E1,N2,E1_213,,,1612
E1,N0,E1_214,,,1612
E1,N1,E1_214,69.09700854700854,43.71180302508079,1612
E1,N2,E1_214,,,1612
E1,N0,E1_215,,,1612
E1,N1,E1_215,67.58309553349876,43.814299127888766,1612
E1,N2,E1_215,,,1612
E1,N0,E1_216,,,1612
E1,N1,E1_216,70.51529328646264,42.238736407030785,1612
E1,N2,E1_216,,,1612
E1,N0,E1_217,,,1612
E1,N1,E1_217,70.95206265508685,41.982483890845266,1612
E1,N2,E1_217,,,1612
E1,N0,E1_218,,,1612
E1,N1,E1_218,2.201048836356296,11.39744285088235,1612
E1,N2,E1_218,,,1612
E1,N0,E1_219,,,494
E1,N1,E1_219,45.68751686909582,44.66328198978685,494
E1,N2,E1_219,,,494
E1,N0,E1_220,,,474
E1,N1,E1_220,41.920622362869196,43.77723602409674,474
E1,N2,E1_220,,,474
E1,N0,E1_221,,,477
E1,N1,E1_221,43.990177659517286,44.12416918967515,477
E1,N2,E1_221,,,477
E1,N0,E1_222,,,480
E1,N1,E1_222,41.76677884615385,43.28122054136334,480
E1,N2,E1_222,,,480
E1,N0,E1_223,,,483
E1,N1,E1_223,41.21538992408558,41.3139729019363,483
E1,N2,E1_223,,,483
E1,N0,E1_224,,,472
E1,N1,E1_224,42.695745056497174,43.877451618000215,472
E1,N2,E1_224,,,472
E1,N0,E1_225,,,471
E1,N1,E1_225,44.09861553432413,42.43547150188424,471
E1,N2,E1_225,,,471
E1,N0,E1_226,,,482
E1,N1,E1_226,45.48286652835409,44.89040157923984,482
E1,N2,E1_226,,,482
E1,N0,E1_227,,,479
E1,N1,E1_227,46.28268217516652,45.04109090954858,479
E1,N2,E1_227,,,479
E1,N0,E1_228,,,475
E1,N1,E1_228,45.47667794486215,44.457221207713005,475
E1,N2,E1_228,,,475
E1,N0,E1_229,,,494
E1,N1,E1_229,43.16847376855601,38.32919396934394,494
