env,h,model,ung_vien,fold,n_train,n_val,mae_p50_val,giay
E2,1,ridge,"{""alpha"": 100.0}",3,532016,20536,0.3331394663044046,0.2
E2,1,ridge,"{""alpha"": 100.0}",4,552854,20536,0.4579959249963947,0.2
E2,1,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",0,469502,20536,0.2917747680755222,2.9
E2,1,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",1,490340,20536,0.3022852330815558,2.8
E2,1,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",2,511178,20536,0.2686689691216338,3.1
E2,1,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",3,532016,20536,0.283588763691631,3.2
E2,1,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",4,552854,20536,0.3613265476807826,3.2
E2,1,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",0,469502,20536,0.2889107474509407,4.2
E2,1,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",1,490340,20536,0.3121209446794564,4.3
E2,1,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",2,511178,20536,0.2574255304593665,4.5
E2,1,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",3,532016,20536,0.2533131140412069,4.9
E2,1,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",4,552854,20536,0.3332212776530023,5.1
E2,1,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",0,469502,20536,0.3195015689394637,8.8
E2,1,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",1,490340,20536,0.3297885287626116,9.0
E2,1,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",2,511178,20536,0.2503317330982171,10.6
E2,1,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",3,532016,20536,0.2719799569091764,10.0
E2,1,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",4,552854,20536,0.3313176503660632,11.7
E2,6,lr,{},0,466681,19026,0.9181485284573188,0.3
E2,6,lr,{},1,487519,19026,0.8932628293516774,0.3
E2,6,lr,{},2,508357,19026,0.6407175200326103,0.4
E2,6,lr,{},3,529195,19026,0.6838392996914173,0.4
E2,6,lr,{},4,550033,19026,1.0956972799259863,0.4
E2,6,ridge,"{""alpha"": 0.01}",0,466681,19026,0.9181096775821908,0.2
E2,6,ridge,"{""alpha"": 0.01}",1,487519,19026,0.8932714956778067,0.2
E2,6,ridge,"{""alpha"": 0.01}",2,508357,19026,0.6407223376016769,0.2
