nguon,dich,mode,lich,h,model,mae_transfer,mae_trong_moi_truong,chi_phi
E2,E3,N2,khong,12,lr,7.15131735413304,6.433363950917596,1.1115984434726471
E2,E1,N2,khong,12,ridge,0.5031164221875756,1.0489916305433542,0.47961910041834416
E2,E3,N2,khong,12,ridge,7.1513173492438975,6.432868962632703,1.1116839765871998
E3,E1,N0,khong,1,lr,1.069578316430256,0.5508031015451244,1.9418523850534837
E3,E2,N0,khong,1,lr,1.016254511322757,0.5107474132441241,1.9897399085543945
E3,E1,N0,khong,1,ridge,1.071744671845356,0.5510983478127187,1.9447430319815984
E3,E2,N0,khong,1,ridge,1.0181280614454389,0.5107622627249901,1.9933502056584589
E3,E1,N0,khong,6,lr,2.9250629189803643,0.8781132901285866,3.331076925793974
E3,E2,N0,khong,6,lr,2.9176157627095285,0.9005310685653591,3.239883513799916
E3,E1,N0,khong,6,ridge,2.927418776311192,0.8783373546507118,3.3329093437854955
E3,E2,N0,khong,6,ridge,2.9196547320426403,0.9005599465787686,3.2420437341616424
E3,E1,N0,khong,12,lr,4.153468982474182,1.0489235994031263,3.9597440507942134
E3,E2,N0,khong,12,lr,4.163917245269605,1.1959112097612068,3.4817946443541024
E3,E1,N0,khong,12,ridge,4.1579758780583305,1.0489916305433542,3.9637836537404896
E3,E2,N0,khong,12,ridge,4.167082305698866,1.1958359114803483,3.484660617475816
E3,E1,N1,khong,1,lr,0.6900083164711202,0.5508031015451244,1.2527313563331333
E3,E2,N1,khong,1,lr,0.6464560009506093,0.5107474132441241,1.2657058737595994
E3,E1,N1,khong,1,ridge,0.6897845760393563,0.5510983478127187,1.251654226105152
E3,E2,N1,khong,1,ridge,0.6466108517482395,0.5107622627249901,1.2659722515490428
E3,E1,N1,khong,6,lr,1.5518119762378528,0.8781132901285866,1.7672115815609772
E3,E2,N1,khong,6,lr,1.701509126373962,0.9005310685653591,1.8894507760677766
E3,E1,N1,khong,6,ridge,1.5206347961866795,0.8783373546507118,1.7312650863988244
E3,E2,N1,khong,6,ridge,1.6809820768443262,0.9005599465787686,1.8665965361110994
E3,E1,N1,khong,12,lr,2.254011559766118,1.0489235994031263,2.1488805867736493
E3,E2,N1,khong,12,lr,2.40759242021595,1.1959112097612068,2.013186598273199
E3,E1,N1,khong,12,ridge,2.2468511888841087,1.0489916305433542,2.141915267446214
E3,E2,N1,khong,12,ridge,2.405585983850332,1.1958359114803483,2.0116355101532375
E3,E1,N2,khong,1,lr,0.6064772178714505,0.5508031015451244,1.1010780733989114
E3,E2,N2,khong,1,lr,0.5530739864611582,0.5107474132441241,1.082871830810043
E3,E1,N2,khong,1,ridge,0.6066874781069309,0.5510983478127187,1.1008697095805906
E3,E2,N2,khong,1,ridge,0.5531980670276364,0.5107622627249901,1.0830832804213943
E3,E1,N2,khong,6,lr,0.5242842609518951,0.8781132901285866,0.597057654001708
E3,E2,N2,khong,6,lr,0.5218843699204112,0.9005310685653591,0.579529555545294
E3,E1,N2,khong,6,ridge,0.524138725910425,0.8783373546507118,0.5967396503577592
E3,E2,N2,khong,6,ridge,0.521770001782071,0.9005599465787686,0.579383975230386
E3,E1,N2,khong,12,lr,0.5256484691551384,1.0489235994031263,0.5011313211507974
E3,E2,N2,khong,12,lr,0.524778103867502,1.1959112097612068,0.43881025579841076
E3,E1,N2,khong,12,ridge,0.5256643057058193,1.0489916305433542,0.5011139177855375
E3,E2,N2,khong,12,ridge,0.5247819703910999,1.1958359114803483,0.43884111971638495
E1,E2,N0,khong,1,rf,0.4220434870626067,0.3911268968668533,1.0790449095764385
E1,E3,N0,khong,1,rf,4.297579712944883,4.133127491687575,1.0397888092220842
E1,E2,N0,khong,1,svr,0.3547286311396571,0.3642830456218155,0.9737720033995833
E1,E3,N0,khong,1,svr,4.3647940580333975,4.1659407299127,1.0477331150423892
E1,E2,N0,khong,1,xgb,0.4224842685011507,0.4105843619443219,1.0289828538536556
E1,E3,N0,khong,1,xgb,4.325898410543873,4.042282263792604,1.070162380616432
E1,E2,N0,khong,6,rf,0.5841293824485079,0.5208661353704407,1.1214577849893703
E1,E3,N0,khong,6,rf,5.802373563743817,5.39196177266712,1.0761154860476112
E1,E2,N0,khong,6,svr,0.3701969413072344,0.3733452642224112,0.9915672616827376
E1,E3,N0,khong,6,svr,5.734792908499091,5.4493870567820295,1.0523739365075673
E1,E2,N0,khong,6,xgb,0.578626040238073,0.5464341055229878,1.0589127479227793
E1,E3,N0,khong,6,xgb,5.75898563765911,5.423125989071503,1.0619310060773843
E1,E2,N0,khong,12,rf,0.6564668270351832,0.5904490725716234,1.111809396492111
E1,E3,N0,khong,12,rf,6.625733180333627,5.840017988976799,1.1345398580689114
E1,E2,N0,khong,12,svr,0.390368992962562,0.3949873973233344,0.9883074640050052
E1,E3,N0,khong,12,svr,6.457492636508368,6.161344447108217,1.0480655142627429
E1,E2,N0,khong,12,xgb,0.5833340189121425,0.7063360412835058,0.8258590597361387
E1,E3,N0,khong,12,xgb,6.500738832714574,5.918265611187303,1.0984195809708541
E1,E2,N1,khong,1,rf,0.3602039814186363,0.3911268968668533,0.9209389185557757
E1,E3,N1,khong,1,rf,4.3039581732097885,4.133127491687575,1.041332061947226
E1,E2,N1,khong,1,svr,0.3935031096744099,0.3642830456218155,1.0802125281529833
E1,E3,N1,khong,1,svr,4.291184563333477,4.1659407299127,1.0300637578738192
E1,E2,N1,khong,1,xgb,0.3797062128780729,0.4105843619443219,0.9247946294885037
E1,E3,N1,khong,1,xgb,4.288734794573592,4.042282263792604,1.0609686594596583
E1,E2,N1,khong,6,rf,0.4016535338440112,0.5208661353704407,0.7711262195196366
E1,E3,N1,khong,6,rf,5.749819604930263,5.39196177266712,1.066368762864231
E1,E2,N1,khong,6,svr,0.3849142483698296,0.3733452642224112,1.0309873601089163
E1,E3,N1,khong,6,svr,5.834740813313919,5.4493870567820295,1.0707150643763317
E1,E2,N1,khong,6,xgb,0.4384185502310391,0.5464341055229878,0.8023264759644388
E1,E3,N1,khong,6,xgb,5.709827517760769,5.423125989071503,1.0528664702363577
E1,E2,N1,khong,12,rf,0.4416558285647034,0.5904490725716234,0.7479998683732866
E1,E3,N1,khong,12,rf,6.386109999677041,5.840017988976799,1.0935086179068294
E1,E2,N1,khong,12,svr,0.3736415197455229,0.3949873973233344,0.9459580793654085
E1,E3,N1,khong,12,svr,6.487112605845876,6.161344447108217,1.0528729016100629
